Plot,block,depth,treat,spnum,invbiomass,totbiomass,totnatbiomass,Date harvested,invprod,totprod,totnatprod,invNUE,natNUE,totNUE,coverdate,native richness,invasive richness,Total richness,raw native cover,raw invasive cover,raw Nfixer cover,scaled native cover,scaled invasive cover,total scaled cover,scaled Nfixer cover,Shannon,ENS
52,4,Deep,Random,2,27.11,29.5562,2.4462,4/21/17,330.6097561,360.4414634,29.83170732,80,45.04504505,75.17206341,4/21/17,2,1,3,10,80,0,10.52631579,84.21052632,94.73684211,0,0.458813593,1.582195742
53,4,Deep,Random,5,16.07,16.2905,0.2205,4/21/17,230.5595409,233.723099,3.163558106,78.74015748,33.11258278,77.29844302,4/21/17,1,3,4,1,64,0,1.111111111,71.11111111,72.22222222,0,0.503795515,1.654990908
54,4,Deep,Random,8,27.99,28.611,0.621,4/21/17,568.902439,581.5243902,12.62195122,79.36507937,36.900369,77.43101479,4/21/17,3,1,4,5,55,1,7.692307692,84.61538462,92.30769231,1.538461538,0.526110491,1.692337131
55,4,Deep,Random,12,33.23,34.4121,1.1821,4/21/17,450.2710027,466.2886179,16.01761518,76.33587786,33.11258278,73.05985689,4/21/17,2,1,3,5,65,2,6.25,81.25,87.5,2.5,0.463446092,1.589542267
62,5,Medium,Order,2,15.9,20.71,4.81,4/20/17,193.902439,252.5609756,58.65853659,99.00990099,53.19148936,82.50404353,4/13/17,9,1,10,37,40,6,41.11111111,44.44444444,85.55555555,6.666666667,1.435797723,4.202996498
63,5,Medium,Order,5,14.45,15.4867,1.0367,4/20/17,207.3170732,222.1908178,14.87374462,69.44444444,32.78688525,64.60885271,4/12/17,2,3,5,9,68,0,9.782608696,73.91304348,83.69565218,0,1.026890276,2.792368822
64,5,Medium,Order,8,20.2,30.7974,10.5974,4/20/17,246.3414634,375.5780488,129.2365854,82.6446281,62.11180124,74.20378281,4/12/17,5,2,7,36,50,1,36,50,86,1,1.54353086,4.681089397
65,5,Medium,Order,12,24.5,27.72,3.22,4/20/17,534.6426623,604.9099836,70.26732133,74.07407407,43.85964912,68.58568014,4/12/17,2,3,5,4,51,1,5.714285714,72.85714286,78.57142857,1.428571429,0.854385615,2.349930175
66,5,Medium,Order,16,24.29,28.2214,3.9314,4/20/17,370.2743902,430.2042683,59.92987805,74.62686567,40.32258065,66.71966779,4/12/17,4,2,6,23,53,5,25.27472527,58.24175824,83.51648351,5.494505495,1.086798801,2.964768052
67,5,Medium,Random,2,21.51,21.74,0.23,4/20/17,262.3170732,265.1219512,2.804878049,86.20689655,35.84229391,84.94410647,4/12/17,2,2,4,5,75,1,5,75,80,1,0.574265809,1.775826253
68,5,Medium,Random,5,14.12,16.32,2.2,4/20/17,172.195122,199.0243902,26.82926829,71.94244604,47.16981132,67.18593048,4/13/17,3,2,5,25,25,0,27.77777778,27.77777778,55.55555556,0,1.020151287,2.773614343
69,5,Medium,Random,8,13.46,25.46,12,4/20/17,164.1463415,310.4878049,146.3414634,62.5,24.69135802,36.30090111,4/13/17,4,3,7,40,30,0,53.33333333,40,93.33333333,0,1.429534818,4.176755788
70,5,Medium,Random,12,21.78,30.78,9,4/20/17,279.5892169,395.1219512,115.5327343,62.89308176,44.44444444,56.08580144,4/13/17,1,2,3,15,40,0,25,66.66666667,91.66666667,0,0.915709586,2.498547557
77,6,Deep,Order,2,25.72,27.87,2.15,4/20/17,358.5918438,388.5674451,29.97560125,72.99270073,34.96503497,67.34258942,4/13/17,3,1,4,8,52,1,13.33333333,86.66666667,100,1.666666667,0.620045235,1.859012132
78,6,Deep,Order,5,23.27,24,0.73,4/20/17,616.4238411,635.7615894,19.33774834,59.52380952,21.83406114,56.55442185,4/13/17,0,1,1,0,30,0,0,100,100,0,0.361191841,1.435038734
79,6,Deep,Order,8,14.24,14.6392,0.3992,4/20/17,314.3487859,323.1611479,8.812362031,71.94244604,,73.95925956,4/13/17,1,1,2,5,25,0,16.66666667,83.33333333,100,0,0.496360204,1.64273117
